Number,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Pr_Male,Height_m,Weight_kg,Catch_Rate
1.0,0.16036956266580488,0.1075121767732196,0.13810437373168008,0.12140128812720598,0.12016073382557507,0.11182173310811062,0.028156108844510367,0.9833287915095994,-0.013413582216107832,-0.009710086424020837,0.08730924241334563,-0.07493149910239211
0.16036956266580488,1.0,0.6426280244799407,0.704163938404087,0.6058312111093672,0.723736779274917,0.7065010651669557,0.5488902010278798,0.09286796711095219,0.11356407278275639,0.5268132744278308,0.5359657229939493,-0.7382796489667662
0.1075121767732196,0.6426280244799407,1.0,0.431680155506985,0.22883406166743073,0.3686397212290758,0.3760056017851685,0.17003077974523112,0.07154520685467547,-0.06670381426062255,0.4428719853690745,0.4313195465261051,-0.47872498935354146
0.13810437373168008,0.704163938404087,0.431680155506985,1.0,0.4332328412280243,0.33520487127509846,0.20721058479951757,0.33501301000056266,0.0938573622934738,0.2138820273190513,0.4085898652931141,0.4693948331956369,-0.525106371593613
0.12140128812720598,0.6058312111093672,0.22883406166743073,0.4332328412280243,1.0,0.202519170289498,0.4839861856040734,-0.008662734991145758,0.06840875741311972,0.06389904982313785,0.3542049982278327,0.4769825904188432,-0.43655752914320867
0.12016073382557507,0.723736779274917,0.3686397212290758,0.33520487127509846,0.202519170289498,1.0,0.4928607744034006,0.4431062588216656,0.06968891654244318,0.10589334313873709,0.33057925184112763,0.2850479513836464,-0.5391135974040915
0.11182173310811062,0.7065010651669557,0.3760056017851685,0.20721058479951757,0.4839861856040734,0.4928607744034006,1.0,0.23348725755213318,0.05542050663730429,0.017941205844595624,0.3131955011646957,0.3286454524924598,-0.5130141384896104
0.028156108844510367,0.5488902010278798,0.17003077974523112,0.33501301000056266,-0.008662734991145758,0.4431062588216656,0.23348725755213318,1.0,0.003920281155977253,0.07009826608424982,0.22461715104796257,0.1086369856167622,-0.4105574619222629
0.9833287915095994,0.09286796711095219,0.07154520685467547,0.0938573622934738,0.06840875741311972,0.06968891654244318,0.05542050663730429,0.003920281155977253,1.0,0.010911824316479576,-0.05130408859099487,0.03400287306996557,-0.025226989636436648
-0.013413582216107832,0.11356407278275639,-0.06670381426062255,0.2138820273190513,0.06389904982313785,0.10589334313873709,0.017941205844595624,0.07009826608424982,0.010911824316479576,1.0,0.04086302069276579,0.061196422756510244,-0.2536446864331248
-0.009710086424020837,0.5268132744278308,0.4428719853690745,0.4085898652931141,0.3542049982278327,0.33057925184112763,0.3131955011646957,0.22461715104796257,-0.05130408859099487,0.04086302069276579,1.0,0.661341502789442,-0.38286249908138353
0.08730924241334563,0.5359657229939493,0.4313195465261051,0.4693948331956369,0.4769825904188432,0.2850479513836464,0.3286454524924598,0.1086369856167622,0.03400287306996557,0.061196422756510244,0.661341502789442,1.0,-0.3677981083983066
-0.07493149910239211,-0.7382796489667662,-0.47872498935354146,-0.525106371593613,-0.43655752914320867,-0.5391135974040915,-0.5130141384896104,-0.4105574619222629,-0.025226989636436648,-0.2536446864331248,-0.38286249908138353,-0.3677981083983066,1.0
